,date,category_name,name,disc_price,merchant,brand,day_week,month_number,month,day,week_number
0,2017-12-14,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Walmart.com,Boytone,Thursday,12,December,14,50
1,2017-09-08,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.0,Walmart.com,Boytone,Friday,9,September,8,36
2,2017-10-24,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,66.0,Walmart.com,Boytone,Tuesday,10,October,24,43
3,2017-08-15,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,74.99,Walmart.com,Boytone,Tuesday,8,August,15,33
4,2017-09-14,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.99,Walmart.com,Boytone,Thursday,9,September,14,37
5,2017-07-23,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Walmart.com,Boytone,Sunday,7,July,23,29
6,2017-10-10,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.99,Bestbuy.com,Boytone,Tuesday,10,October,10,41
7,2017-08-28,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,66.99,Bestbuy.com,Boytone,Monday,8,August,28,35
8,2017-08-12,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,65.99,Bestbuy.com,Boytone,Saturday,8,August,12,32
9,2017-08-01,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Tuesday,8,August,1,31
10,2017-07-26,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Wednesday,7,July,26,30
11,2017-05-31,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Wednesday,5,May,31,22
12,2017-05-31,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Wednesday,5,May,31,22
13,2017-05-09,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Tuesday,5,May,9,19
14,2017-05-01,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Monday,5,May,1,18
15,2017-05-18,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Thursday,5,May,18,20
16,2017-04-04,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Tuesday,4,April,4,14
17,2017-03-30,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Thursday,3,March,30,13
18,2017-03-10,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Friday,3,March,10,10
19,2017-03-04,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Saturday,3,March,4,9
20,2017-03-03,"speaker, portable, bluetooth",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,Bestbuy.com,Boytone,Friday,3,March,3,9
21,2017-08-01,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Tuesday,8,August,1,31
22,2017-08-01,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Tuesday,8,August,1,31
23,2017-07-26,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Wednesday,7,July,26,30
24,2017-05-01,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Monday,5,May,1,18
25,2017-05-09,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Tuesday,5,May,9,19
26,2017-05-18,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Thursday,5,May,18,20
27,2017-03-30,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Thursday,3,March,30,13
28,2017-03-15,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Wednesday,3,March,15,11
29,2017-03-10,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Friday,3,March,10,10
30,2017-03-04,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,Bestbuy.com,DreamWave,Saturday,3,March,4,9
31,2017-06-01,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,Bestbuy.com,DreamWave,Thursday,6,June,1,22
32,2017-06-01,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,Bestbuy.com,DreamWave,Thursday,6,June,1,22
33,2017-10-10,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,Tuesday,10,October,10,41
34,2017-09-18,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,Monday,9,September,18,38
35,2017-08-30,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,Wednesday,8,August,30,35
36,2017-03-10,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,254.99,Bestbuy.com,Universal Remote Control,Friday,3,March,10,10
37,2017-03-04,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,254.99,Bestbuy.com,Universal Remote Control,Saturday,3,March,4,9
38,2017-03-30,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,209.99,Bestbuy.com,Universal Remote Control,Thursday,3,March,30,13
39,2017-10-10,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Tuesday,10,October,10,41
40,2017-09-12,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Tuesday,9,September,12,37
41,2017-09-06,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Wednesday,9,September,6,36
42,2017-08-30,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Wednesday,8,August,30,35
43,2017-09-18,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Monday,9,September,18,38
44,2017-07-31,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Monday,7,July,31,31
45,2017-08-01,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Tuesday,8,August,1,31
46,2017-07-26,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Wednesday,7,July,26,30
47,2017-07-11,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Tuesday,7,July,11,28
48,2017-07-07,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,Friday,7,July,7,27
